bathrooms,bedrooms2,date_posted,builder2,project,floor,furnish_status,price2,property_type2,user_type2,prop_id
,,,,,,,,,,domcache_globalNav
2,2,20210918.0,,,1,Unfurnished,9000.0,Residential House,Owner,domcache_srp_48930897
3,3,20210918.0,,,1,Furnished,22000.0,Builder Floor Apartment,Agent,domcache_srp_57083523
3,3,20210918.0,,,9,Semi-Furnished,40000.0,Apartment,Agent,domcache_srp_57071547
4,4,20210917.0,,,3,Unfurnished,80000.0,Apartment,Agent,domcache_srp_56793769
3,3,20210919.0,,,,Semi-Furnished,40000.0,Villa,Agent,domcache_srp_57049739
3,3,20210918.0,,,13,Semi-Furnished,35000.0,Apartment,Agent,domcache_srp_54630391
5,4,20210917.0,,,,Furnished,160000.0,Villa,Agent,domcache_srp_55683219
3,3,20210918.0,,,1,Semi-Furnished,31000.0,Apartment,Agent,domcache_srp_56498743
5,3,20210918.0,Trendset Builders,Trendset Winz,1,Unfurnished,55000.0,Apartment,Agent,domcache_srp_55715405
2,2,20210918.0,SMR Holdings,SMR Vinay Harmony County,9,Unfurnished,21500.0,Apartment,Owner,domcache_srp_53849419
2,2,20210918.0,,,1,Unfurnished,10000.0,Residential House,Owner,domcache_srp_56051149
2,2,20210918.0,EIPL Group,EIPL Apila,2,Semi-Furnished,30000.0,Apartment,Owner,domcache_srp_57031233
2,3,20210918.0,Mantri Developers Pvt. Ltd.,Mantri Celestia,Ground,Semi-Furnished,28000.0,Apartment,Owner,domcache_srp_53468361
2,2,20210918.0,,,2,Unfurnished,11000.0,Builder Floor Apartment,Owner,domcache_srp_46503971
1,1,20210918.0,,,4,Unfurnished,12000.0,Builder Floor Apartment,Owner,domcache_srp_56969627
3,3,20210918.0,,,Ground,Furnished,32000.0,Apartment,Owner,domcache_srp_57033051
2,2,20210918.0,,Aditi enclave,1,Semi-Furnished,23000.0,Apartment,Owner,domcache_srp_56585031
3,3,20210918.0,My Home Group,My Home Avatar,2,Furnished,35000.0,Builder Floor Apartment,Owner,domcache_srp_57072355
3,2,20210919.0,,NRI Anandnagar Colony,1,Unfurnished,8000.0,Residential House,Owner,domcache_srp_57080653
2,2,20210918.0,,,5,Furnished,14000.0,Apartment,Owner,domcache_srp_57011105
> 10,,20210918.0,,,4,Unfurnished,240000.0,Studio Apartment,Owner,domcache_srp_57083809
2,2,20210919.0,,,1,Semi-Furnished,10000.0,Residential House,Owner,domcache_srp_57087771
3,3,20210916.0,My Home Constructions Pvt. Ltd.,My Home Vihanga,11,Semi-Furnished,40000.0,Apartment,Owner,domcache_srp_57037109
2,2,20210917.0,,,1,Unfurnished,14000.0,Apartment,Owner,domcache_srp_56988121
2,2,20210919.0,,,2,Unfurnished,12000.0,Residential House,Owner,domcache_srp_55884259
2,2,20210915.0,,Siddhartha Residency,2,Semi-Furnished,12000.0,Apartment,Owner,domcache_srp_57020727
3,3,20210918.0,,,7,Unfurnished,37000.0,Apartment,Owner,domcache_srp_57021743
2,2,20210913.0,,,1,Unfurnished,20000.0,Apartment,Owner,domcache_srp_56995675
2,2,20210916.0,,,1,Unfurnished,8000.0,Residential House,Owner,domcache_srp_57033049
3,3,20210917.0,Babukhan Properties,Babukhan Solitaire,5,Unfurnished,25000.0,Apartment,Owner,domcache_srp_57023169
,,,,,,,,,,domcache_constant
,,,,,,,,,,domcache_searchpage
2,2,20210917.0,,,1,Semi-Furnished,18500.0,Apartment,Owner,domcache_srp_57037373
,3,20210915.0,,,,,17146.0,Apartment,Owner,domcache_srp_57030399
5,4,20210917.0,Madhu Infrastructure Pvt. Ltd.,Madhu Park Ridge,4,Semi-Furnished,35000.0,Builder Floor Apartment,Owner,domcache_srp_57053881
2,2,20210918.0,,,2,Unfurnished,18000.0,Apartment,Owner,domcache_srp_35526399
2,2,20210918.0,,,4,Semi-Furnished,12000.0,Service Apartment,Owner,domcache_srp_42849167
3,3,20210919.0,,,3,Unfurnished,25000.0,Apartment,Owner,domcache_srp_56937847
3,3,20210919.0,,Vertex Panache,6,Furnished,40000.0,Apartment,Owner,domcache_srp_56840561
5,5,20210919.0,Bhavya Constructions,Alankrita Meadows,,Semi-Furnished,65000.0,Villa,Owner,domcache_srp_55567249
3,3,20210919.0,,Ayyappa Society,2,Furnished,25000.0,Apartment,Owner,domcache_srp_52780805
3,3,20210917.0,S.S.Group of construction,Swarna Heights,1,Semi-Furnished,18000.0,Apartment,Owner,domcache_srp_56922987
3,3,20210913.0,,,1,Furnished,65000.0,Apartment,Owner,domcache_srp_54673269
3,3,20210919.0,Elegant Infratech Builders,Floatilla,3,Furnished,33000.0,Apartment,Owner,domcache_srp_56567643
3,3,20210918.0,GNR Constructions,GNR Enclave,3,Unfurnished,18000.0,Apartment,Owner,domcache_srp_56238575
3,3,20210919.0,,,3,Semi-Furnished,28000.0,Residential House,Owner,domcache_srp_57003179
3,3,20210918.0,Crown Constructions and Aryamitra Properties,Whistling Woods,5,Semi-Furnished,42000.0,Apartment,Owner,domcache_srp_56732193
3,3,20210917.0,Namishree Infrastructure and Projects Pvt. Ltd.,Tulip Residency,2,Semi-Furnished,25191.0,Apartment,Owner,domcache_srp_53304761
2,3,20210913.0,,,2,Semi-Furnished,20000.0,Apartment,Owner,domcache_srp_54888329
3,3,20210918.0,,,1,Semi-Furnished,30000.0,Residential House,Owner,domcache_srp_56985649
3,3,20210913.0,,Akshaya Residency,1,Unfurnished,15000.0,Apartment,Owner,domcache_srp_55725009
1,1,20210913.0,,,1,Furnished,35000.0,Apartment,Owner,domcache_srp_56981809
2,3,20210913.0,,,1,Unfurnished,30000.0,Residential House,Owner,domcache_srp_55959117
2,3,20210915.0,,,1,Semi-Furnished,33000.0,Apartment,Owner,domcache_srp_56481783
5,7,20210918.0,,,1,Furnished,400000.0,Residential House,Owner,domcache_srp_56385729
1,1,20210918.0,,,5,Semi-Furnished,16000.0,Apartment,Owner,domcache_srp_48973689
2,3,20210918.0,,,5,Unfurnished,40000.0,Apartment,Owner,domcache_srp_55883699
3,3,20210918.0,,,4,Unfurnished,28000.0,Apartment,Owner,domcache_srp_56048159
3,3,20210917.0,,,1,Unfurnished,24000.0,Apartment,Owner,domcache_srp_56769677
3,4,20210914.0,Keystone Developers,Urban Nest,4,Semi-Furnished,40000.0,Builder Floor Apartment,Owner,domcache_srp_41439341
2,2,20210917.0,,,2,Unfurnished,11000.0,Residential House,Owner,domcache_srp_57014983
3,3,20210915.0,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Regalia,16,Semi-Furnished,58000.0,Apartment,Owner,domcache_srp_56037127
